Event,ST,ET,Remark,Location,Category,Duration,Tag
save the date - osint + maltego/socialnet training (soft strategy / docente antonio broi),2021-05-31 02:00:00+02:00,2021-06-02 02:00:00+02:00,"________________________________________________________________________________
riunione di microsoft teams
partecipa tramite computer o app per dispositivi mobili
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_ytqxyzq0zjgtn2e1ni00yzg5ltkymjitmzvlnmm0owu0mzzh%40thread.v2/0?context=%7b%22tid%22%3a%228b0a80ae-b7d7-4542-9b6f-a8eb403f9b21%22%2c%22oid%22%3a%227375f973-ddae-46fe-83da-213139a3d9a7%22%7d>
in alternativa, partecipa tramite chiamata (solo audio)
+39 02 0069 9576,,158602042#<tel:+390200699576,,158602042#>   italy, milano
id conferenza telefonica: 158 602 042#
trova un numero locale<https://dialin.teams.microsoft.com/1c8f6b58-be25-4e8d-ac41-ff4e7b41b3e2?id=158602042> | reimposta pin<https://mysettings.lync.com/pstnconferencing>
altre informazioni<https://aka.ms/jointeamsmeeting> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=7375f973-ddae-46fe-83da-213139a3d9a7&tenantid=8b0a80ae-b7d7-4542-9b6f-a8eb403f9b21&threadid=19_meeting_ytqxyzq0zjgtn2e1ni00yzg5ltkymjitmzvlnmm0owu0mzzh@thread.v2&messageid=0&language=it-it>
________________________________________________________________________________",nan,broi,48.0,
corso osint - maltego & social network 1* giorno,2021-05-31 08:00:00+02:00,2021-05-31 19:00:00+02:00,"<b>primo giorno di incontro corso osint con paterva maltego&nbsp;</b><br><b>con antonio broi</b><br><b><br></b><br><b>sei stato invitato a una riunione di microsoft teams</b><br><br>puoi partecipare dal computer o dall'app per dispositivi mobili<br><a href=""https://teams.live.com/meet/94748952609931"">fai clic qui per accedere alla riunione</a>

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/izf-mqdt-jur

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,11.0,
corso osint - maltego & social network 2* giorno,2021-06-01 08:00:00+02:00,2021-06-01 19:00:00+02:00,"<b>2 giorno - corso osint con paterva maltego con antonio broi.</b><br><b><br></b><br><b>sei stato invitato a una riunione di microsoft teams</b><br><br>puoi partecipare dal computer o dall'app per dispositivi mobili<br><a href=""https://teams.live.com/meet/94902946890365"">fai clic qui per accedere alla riunione</a>

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/gyq-mout-sve

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,11.0,
corso osint con paterva maltego 3° giorno,2021-06-10 08:00:00+02:00,2021-06-10 19:00:00+02:00,"<b>&nbsp;3° giorno&nbsp;</b><b>corso osint &nbsp;paterva maltego con antonio broi</b><br><br><b><br></b><br><b>sei stato invitato a una riunione di microsoft teams</b><br><br>puoi partecipare dal computer o dall'app per dispositivi mobili<br><a href=""https://teams.live.com/meet/94960764190868"">fai clic qui per accedere alla riunione</a>

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/oxk-sufx-moi

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,11.0,
check per ultima data corso gucci,2021-06-17 15:00:00+02:00,2021-06-17 15:30:00+02:00,"________________________________________________________________________________
riunione di microsoft teams
partecipa tramite computer o app per dispositivi mobili
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_nwewmjfjntytnju0ns00yta2ltljytmtngzmzgqyyjfmnmi4%40thread.v2/0?context=%7b%22tid%22%3a%228b0a80ae-b7d7-4542-9b6f-a8eb403f9b21%22%2c%22oid%22%3a%227375f973-ddae-46fe-83da-213139a3d9a7%22%7d>
in alternativa, partecipa tramite chiamata (solo audio)
+39 02 0069 9576,,601488748#<tel:+390200699576,,601488748#>   italy, milano
id conferenza telefonica: 601 488 748#
trova un numero locale<https://dialin.teams.microsoft.com/1c8f6b58-be25-4e8d-ac41-ff4e7b41b3e2?id=601488748> | reimposta pin<https://mysettings.lync.com/pstnconferencing>
altre informazioni<https://aka.ms/jointeamsmeeting> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=7375f973-ddae-46fe-83da-213139a3d9a7&tenantid=8b0a80ae-b7d7-4542-9b6f-a8eb403f9b21&threadid=19_meeting_nwewmjfjntytnju0ns00yta2ltljytmtngzmzgqyyjfmnmi4@thread.v2&messageid=0&language=it-it>
________________________________________________________________________________",nan,broi,0.5,
corso osint paterva maltego - 4 giorno,2021-06-18 08:00:00+02:00,2021-06-18 19:00:00+02:00,"<b>4 e ultimo giorno del corso osint con paterva maltego con antonio broi.</b><br><b><br></b><br><b><br></b><br><b>sei stato invitato a una riunione di microsoft teams</b><br><br>puoi partecipare dal computer o dall'app per dispositivi mobili<br><a href=""https://teams.live.com/meet/94521807228899"">fai clic qui per accedere alla riunione</a>

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/vkz-tnvu-xvc

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,11.0,
check corso osint gucci e osint anti-terrorismo bz,2021-06-21 09:30:00+02:00,2021-06-21 10:30:00+02:00,"________________________________________________________________________________
riunione di microsoft teams
partecipa tramite computer o app per dispositivi mobili
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_zmjhzdbizgitotkwzc00oti5lwi3mdatn2vjmjc0mgfiztm4%40thread.v2/0?context=%7b%22tid%22%3a%228b0a80ae-b7d7-4542-9b6f-a8eb403f9b21%22%2c%22oid%22%3a%227375f973-ddae-46fe-83da-213139a3d9a7%22%7d>
in alternativa, partecipa tramite chiamata (solo audio)
+39 02 0069 9576,,577335819#<tel:+390200699576,,577335819#>   italy, milano
id conferenza telefonica: 577 335 819#
trova un numero locale<https://dialin.teams.microsoft.com/1c8f6b58-be25-4e8d-ac41-ff4e7b41b3e2?id=577335819> | reimposta pin<https://mysettings.lync.com/pstnconferencing>
altre informazioni<https://aka.ms/jointeamsmeeting> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=7375f973-ddae-46fe-83da-213139a3d9a7&tenantid=8b0a80ae-b7d7-4542-9b6f-a8eb403f9b21&threadid=19_meeting_zmjhzdbizgitotkwzc00oti5lwi3mdatn2vjmjc0mgfiztm4@thread.v2&messageid=0&language=it-it>
________________________________________________________________________________",nan,broi,1.0,
stay at hotel ristorante lewald,2021-06-23 02:00:00+02:00,2021-06-26 02:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6doq1_uhuep-zmlkgynvtrsslvqtr3kcl3g","hotel ristorante lewald, bolzano",broi,72.0,
save the date - osint anti-terrorismo a bolzano,2021-06-24 02:00:00+02:00,2021-06-26 02:00:00+02:00,nan,nan,broi,48.0,
osint italia tsurugi-linux,2021-06-28 02:00:00+02:00,2021-06-29 02:00:00+02:00,nan,nan,broi,24.0,
"save the ""extra"" date - osint + maltego/socialnet training (soft strategy / docente antonio broi)",2021-07-05 08:00:00+02:00,2021-07-05 14:00:00+02:00,"buongiorno a tutte/i

come d’accordo con francesco rumiano, il 5 mattina sarà svolta una mattinata extra di formazione.
una seconda e conclusiva data extra sarà il 9 mattina.

l’orario di inizio effettivo sarà lo stesso delle precedenti date.

buona continuazione
f

________________________________________________________________________________
riunione di microsoft teams
partecipa tramite computer o app per dispositivi mobili
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_zjy3ogfmzjmtmju5my00nwuwlwfjnwmtn2zhmgu2mtbhmtdm%40thread.v2/0?context=%7b%22tid%22%3a%228b0a80ae-b7d7-4542-9b6f-a8eb403f9b21%22%2c%22oid%22%3a%227375f973-ddae-46fe-83da-213139a3d9a7%22%7d>
in alternativa, partecipa tramite chiamata (solo audio)
+39 02 0069 9576,,411481957#<tel:+390200699576,,411481957#>   italy, milano
id conferenza telefonica: 411 481 957#
trova un numero locale<https://dialin.teams.microsoft.com/1c8f6b58-be25-4e8d-ac41-ff4e7b41b3e2?id=411481957> | reimposta pin<https://mysettings.lync.com/pstnconferencing>
altre informazioni<https://aka.ms/jointeamsmeeting> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=7375f973-ddae-46fe-83da-213139a3d9a7&tenantid=8b0a80ae-b7d7-4542-9b6f-a8eb403f9b21&threadid=19_meeting_zjy3ogfmzjmtmju5my00nwuwlwfjnwmtn2zhmgu2mtbhmtdm@thread.v2&messageid=0&language=it-it>
________________________________________________________________________________",nan,broi,6.0,
"save the ""extra"" date - osint + maltego/socialnet training  (soft strategy / docente antonio broi)",2021-07-09 08:00:00+02:00,2021-07-09 14:00:00+02:00,"buongiorno a tutte/i

questo il calendar per la seconda e conclusiva data extra di formazione.

l’orario di inizio effettivo sarà lo stesso delle precedenti date.

buona continuazione
f

________________________________________________________________________________
riunione di microsoft teams
partecipa tramite computer o app per dispositivi mobili
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_ztm4mwy4mditnzeyns00mzvilthiogutyjezmtjjogu5mjuy%40thread.v2/0?context=%7b%22tid%22%3a%228b0a80ae-b7d7-4542-9b6f-a8eb403f9b21%22%2c%22oid%22%3a%227375f973-ddae-46fe-83da-213139a3d9a7%22%7d>
in alternativa, partecipa tramite chiamata (solo audio)
+39 02 0069 9576,,283272029#<tel:+390200699576,,283272029#>   italy, milano
id conferenza telefonica: 283 272 029#
trova un numero locale<https://dialin.teams.microsoft.com/1c8f6b58-be25-4e8d-ac41-ff4e7b41b3e2?id=283272029> | reimposta pin<https://mysettings.lync.com/pstnconferencing>
altre informazioni<https://aka.ms/jointeamsmeeting> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=7375f973-ddae-46fe-83da-213139a3d9a7&tenantid=8b0a80ae-b7d7-4542-9b6f-a8eb403f9b21&threadid=19_meeting_ztm4mwy4mditnzeyns00mzvilthiogutyjezmtjjogu5mjuy@thread.v2&messageid=0&language=it-it>
________________________________________________________________________________",nan,broi,6.0,
you4b,2021-07-19 21:30:00+02:00,2021-07-19 22:30:00+02:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/grs-ouqc-jbx

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,1.0,
riunione col ranieri capo pattuglia gico,2021-10-28 02:00:00+02:00,2021-10-29 02:00:00+02:00,nan,nan,broi,24.0,
intervento magg lisa i gte,2021-11-04 07:00:00+01:00,2021-11-04 10:45:00+01:00,nan,nan,broi,3.75,
"hackinbo ""business edition"" winter 2021",2021-11-05 08:30:00+01:00,2021-11-05 17:00:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dpnjqh1onmk4elwknzulqmaxxc3gwamhzc",https://www.linkedin.com/events/hackinbobusinesseditionspring206734872924920045568,broi,8.5,
hackinbo winter edition 2021 - 17esima edizione,2021-11-06 01:00:00+01:00,2021-11-07 01:00:00+01:00,"hackinbo® torna in presenza con la 17esima edizione!

aggiornamenti in questa pagina e sul sito ufficiale www.hackinbo.it

stay tuned!!!
https://www.linkedin.com/events/hackinbowinteredition2021-17esi6810142940657254400",nan,broi,24.0,
hackinbo winter edition 2021 - 17esima edizione,2021-11-06 09:30:00+01:00,2021-11-06 17:00:00+01:00,"hackinbo® torna in presenza con la 17esima edizione!

aggiornamenti in questa pagina e sul sito ufficiale www.hackinbo.it

stay tuned!!!
https://www.linkedin.com/events/hackinbowinteredition2021-17esi6810142940657254400",nan,broi,7.5,
hackinbo winter edition 2021 - 17esima edizione,2021-11-06 09:30:00+01:00,2021-11-06 17:00:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dnlkc9ukm6gmtxnqngylwfts1af7l_zeps",https://www.linkedin.com/events/hackinbowinteredition2021-17esi6810142940657254400,broi,7.5,
hackinbo winter 2021 - 17° edizione,2021-11-06 10:30:00+01:00,2021-11-06 17:00:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dmteeipcii8-ypqlrcgtba6ea6xzd8ubps","online: 
https://www.eventbrite.it/x/biglietti-hackinbo-winter-2021-17-edizione-181767751237",broi,6.5,
cambio gomme kia rio 16.30,2021-11-09 16:00:00+01:00,2021-11-09 17:00:00+01:00,nan,nan,broi,1.0,
cambio gomme seat 16.00,2021-11-10 15:00:00+01:00,2021-11-10 16:00:00+01:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/gpz-domm-dzz

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,1.0,
tampone per contatti stretti,2021-11-17 12:50:00+01:00,2021-11-17 12:55:00+01:00,nan,nan,broi,0.08333333333333333,
tampone per contatti stretti,2021-11-17 12:55:00+01:00,2021-11-17 13:00:00+01:00,nan,nan,broi,0.08333333333333333,
tampone per contatti stretti,2021-11-17 13:05:00+01:00,2021-11-17 13:10:00+01:00,nan,nan,broi,0.08333333333333333,
assemblea condominiale,2021-11-23 18:00:00+01:00,2021-11-23 19:00:00+01:00,nan,nan,broi,1.0,
pulizia caldaia immergas h0900/0830,2021-12-04 08:00:00+01:00,2021-12-04 09:00:00+01:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/pxi-javh-upg

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,1.0,
vaccino terza dose hub cicogna 14.40,2021-12-14 13:30:00+01:00,2021-12-14 14:30:00+01:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/ixy-qafg-bvg

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",la cicogna di san lazzaro,broi,1.0,
esame lella via s.isaia 94 08.54,2021-12-28 07:00:00+01:00,2021-12-28 08:00:00+01:00,nan,nan,broi,1.0,
compleanno cristian lecca figlio roberta asoni,2021-12-31 08:00:00+01:00,2021-12-31 09:00:00+01:00,nan,nan,broi,1.0,
lella villa chiara risonanza magnetica  via porrettana 170 casalecchio,2022-01-11 17:30:00+01:00,2022-01-11 18:30:00+01:00,nan,nan,broi,1.0,
molecolare parco nord 13.15,2022-01-13 12:00:00+01:00,2022-01-13 13:00:00+01:00,nan,nan,broi,1.0,
lella via irnerio visita,2022-01-26 10:30:00+01:00,2022-01-26 11:30:00+01:00,nan,nan,broi,1.0,
pulizia caldaia h 16.15 imme gas,2022-02-02 15:00:00+01:00,2022-02-02 16:00:00+01:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/mah-myow-yvq

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,1.0,
"tagliando kia ho ,07.45 ritiro 16.45 riconsegna",2022-03-09 07:30:00+01:00,2022-03-09 16:30:00+01:00,nan,nan,broi,9.0,
compleanno matilde lecca figlia roberta asoni,2022-03-15 08:30:00+01:00,2022-03-15 09:30:00+01:00,nan,nan,broi,1.0,
seminario con luca l'odio su intella,2022-03-17 08:00:00+01:00,2022-03-17 09:00:00+01:00,nan,nan,broi,1.0,
incontro con comandante e capi pattuglia  sala t2 10-12,2022-03-24 09:00:00+01:00,2022-03-24 10:00:00+01:00,nan,nan,broi,1.0,
incontro col ranieri t1 capi pattuglia osint,2022-04-01 09:00:00+02:00,2022-04-01 12:15:00+02:00,nan,nan,broi,3.25,
carrozzeria zanardi castelmaggiore samuel 6 aprile 0830,2022-04-05 07:00:00+02:00,2022-04-06 08:00:00+02:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
partecipa con google meet: https://meet.google.com/pza-itvh-cnr

scopri di più su meet all’indirizzo: https://support.google.com/a/users/answer/9282720

non modificare questa sezione.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",nan,broi,25.0,
trasloco cicchetti il 23,2022-04-22 12:00:00+02:00,2022-04-22 13:00:00+02:00,nan,nan,broi,1.0,
docenza overnet,2022-04-27 06:30:00+02:00,2022-04-28 07:30:00+02:00,nan,nan,broi,25.0,
oec253 - osint - investigazioni nel dark web e su crittovalute,2022-04-27 09:30:00+02:00,2022-04-27 17:30:00+02:00,"accedi a riunione webex
https://overneteducation.my.webex.com/overneteducation.my-it/j.php?mtid=m774024559f26275f2335bac34bf4de84
numero riunione (codice di accesso): 2372 225 0019

password riunione: bpxiyytm572 (27949986 da telefoni e sistemi video)



toccare per accedere da un dispositivo mobile (solo partecipanti)
+1-650-215-5226,,23722250019#27949986# tel:%2b1-650-215-5226,,*01*23722250019%2327949986%23*01* united states toll
alcuni dispositivi mobili potrebbero richiedere ai partecipanti di inserire una password numerica.


accedi per telefono
+1-650-215-5226 united states toll

numeri di chiamate in ingresso globali
https://overneteducation.my.webex.com/overneteducation.my/globalcallin.php?mtid=m455478e55e4bf011821e62a985fdf45e


accedi tramite sistema video, applicazione o skype for business
chiama sip:23722250019@webex.com
è possibile anche chiamare 62.109.219.4 e immettere il numero della riunione.





impossibile partecipare alla riunione?
https://collaborationhelp.cisco.com/article/wbx000029055


avviso importante: tenere presente che questo servizio webex consente l'invio di audio e altre informazioni per la registrazione durante la sessione, che possono essere utili in caso di problemi legali. la partecipazione alla riunione implica il consenso automatico a queste registrazioni. se non si autorizza la registrazione, discutere i propri dubbi con l'organizzatore o non partecipare alla sessione.",https://overneteducation.my.webex.com/overneteducation.my-it/j.php?mtid=m774024559f26275f2335bac34bf4de84,broi,8.0,
piazza grande ho 1200,2022-05-02 11:30:00+02:00,2022-05-02 12:30:00+02:00,nan,nan,broi,1.0,
gtmc padova ha 0500 partrnza,2022-05-04 04:00:00+02:00,2022-05-04 05:00:00+02:00,nan,nan,broi,1.0,
riunione gtmbs,2022-05-05 08:00:00+02:00,2022-05-05 10:00:00+02:00,nan,nan,broi,2.0,
piazza grande 1400 1500,2022-05-06 12:00:00+02:00,2022-05-06 13:00:00+02:00,nan,nan,broi,1.0,
imola,2022-05-10 06:00:00+02:00,2022-05-10 07:00:00+02:00,nan,nan,broi,1.0,
partenza milano gtmbs 11 e perquisa il 12,2022-05-11 08:00:00+02:00,2022-05-11 09:00:00+02:00,nan,nan,broi,1.0,
milano gtmbs,2022-05-12 06:00:00+02:00,2022-05-12 07:00:00+02:00,nan,nan,broi,1.0,
cambio gomme pneus sport mirko 10.30,2022-05-18 08:00:00+02:00,2022-05-18 09:00:00+02:00,nan,nan,broi,1.0,
cambio gomme pneus sport 10.30,2022-05-19 08:00:00+02:00,2022-05-19 09:00:00+02:00,nan,nan,broi,1.0,
chiamare mirko pnews sport chiedere x gomme dacia 700€,2022-05-26 08:00:00+02:00,2022-05-26 09:00:00+02:00,nan,nan,broi,1.0,
"""hackinbo - sicurezza all'ombra delle torri"" spring edition 2022 - 18° ed.",2022-05-28 07:45:00+02:00,2022-05-28 14:45:00+02:00,"for details, go here:
https://www.eventbrite.it/e/biglietti-hackinbo-sicurezza-allombra-delle-torri-spring-edition-2022-18-ed-293397538937",fico eataly world - via paolo canali 8 - 40127 -  bologna - italy,broi,7.0,
hackinbo® spring edition 2022 - 18° edizione,2022-05-28 09:00:00+02:00,2022-05-28 17:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dpdohnaqgx9nrjrq1sajjn-dxmayzjwpvi",https://www.linkedin.com/events/hackinbo-springedition2022-18-e6875050521011511296,broi,8.0,
hackinbo spring edition 2022 - 18° edizione,2022-05-28 09:00:00+02:00,2022-05-28 17:00:00+02:00,"hackinbo torna in presenza con la sua 18° edizione!

aggiornamenti in progress","bologna, emilia romagna, it",broi,8.0,
hackinbo® spring edition 2022 - 18° edizione,2022-05-28 09:00:00+02:00,2022-05-28 17:00:00+02:00,"hackinbo® torna in presenza con la 18° edizione!

biglietti disponibili da aprile 2022

tante novità in arrivo. pagina in continuo aggiornamento.","fico eataly world, via paolo canali, 8, bologna, bo, it",broi,8.0,
hackinbo spring edition 2022 - 18° edizione,2022-05-28 09:00:00+02:00,2022-05-28 17:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dop0gznucwl8dz6ylubyl7txsvbhkhokzs",https://www.linkedin.com/events/hackinbospringedition2022-18-ed6869207512554504192,broi,8.0,
"""hackinbo - sicurezza all'ombra delle torri"" spring edition 2022 - 18° ed.",2022-05-28 09:30:00+02:00,2022-05-28 16:30:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dmjt0lrmbpewy6ny4amwv60zekny_m2bti","fico eataly world, via paolo canali 840127 bologna, bologna, emilia-romagna, it, 40127",broi,7.0,
l’open source intelligence (osint) nel contrasto alle fake news,2022-06-06 19:30:00+02:00,2022-06-06 20:00:00+02:00,"il web rappresenta ormai una fonte formidabile di accrescimento del sapere, un mezzo per la consultazione a fini informativi ovvero anche soltanto una fonte di svago.
nel nuovo mondo della conoscenza digitale, complice la formidabile rapidità di riscontro, riponiamo la speranza di ricevere una pronta risposta a tutti i nostri interrogativi.
l’affidabilità nelle informazioni che assumiamo diventa un elemento cruciale in un tempo in cui disinformazione e fake news sono in agguato anche come strumento di guerra ibrida.
in tale contesto, un ruolo determinate può darlo l’open source intelligence, meglio noto come osint, dalla cui esperienza possiamo trarre spunti e buone pratiche da utilizzare anche nella vita quotidiana.
ne parliamo con antonio rossi di osintitalia.",nan,broi,0.5,
l’open source intelligence (osint) nel contrasto alle fake news,2022-06-06 19:30:00+02:00,2022-06-06 20:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dp_8kxtk_yw3iiuzos_ryhhbyvz1vuidse",https://www.linkedin.com/events/l-opensourceintelligence-osint-6935579656221802496,broi,0.5,
1 rata ta.ri,2022-06-30 09:00:00+02:00,2022-06-30 10:00:00+02:00,nan,nan,broi,1.0,
processo milano,2022-07-06 08:00:00+02:00,2022-07-06 09:00:00+02:00,nan,nan,broi,1.0,
"viaggio bologna centrale-milano centrale, treno frecciarossa 9802, carr 7, posti 1a, pnr w7hnvn,",2022-07-06 08:13:00+02:00,2022-07-06 09:35:00+02:00,"bologna centrale-milano centrale;treno: frecciarossa 9802, partenza da bologna centrale ore: 08:13; arrivo a milano centrale ore: 09:35 carrozza 7, posti 1a; codice pnr w7hnvn",bologna centrale,broi,1.3666666666666667,
"viaggio milano centrale-bologna centrale, treno intercitynotte 755, carr 1, posti 1c, pnr w7hnvn,",2022-07-06 21:15:00+02:00,2022-07-06 23:35:00+02:00,"milano centrale-bologna centrale;treno: intercitynotte 755, partenza da milano centrale ore: 21:15; arrivo a bologna centrale ore: 23:35 carrozza 1, posti 1c; codice pnr w7hnvn",milano centrale,broi,2.3333333333333335,
stay at hotel salis,2022-07-08 02:00:00+02:00,2022-07-10 02:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dok33eymu0tqmzt4q6jfherqpo-bsdwpa4","hotel salis, roma",broi,48.0,
"viaggio bologna centrale-roma termini, treno frecciarossa 9405, carr 6, posti 1d, pnr qgmj9n,",2022-07-08 09:02:00+02:00,2022-07-08 11:22:00+02:00,"bologna centrale-roma termini;treno: frecciarossa 9405, partenza da bologna centrale ore: 09:02; arrivo a roma termini ore: 11:22 carrozza 6, posti 1d; codice pnr qgmj9n",bologna centrale,broi,2.3333333333333335,
